shot_name,filename,speed_mph,vla_deg,hla_deg,total_spin_rpm,spin_axis_deg,backspin_rpm,sidespin_rpm,carry_yd,total_yd,rollout_yd,apex_ft
5iron,5iron.json,102.10,17.40,1.50,5391.0,12.30,5266.0,1151.0,138.1,142.2,0.0,59.6
approach_mid_iron_test_shot,approach_mid_iron_test_shot.json,93.90,22.90,-2.60,5375.0,2.00,5375.0,0.0,125.8,128.5,0.0,69.3
bump_and_run,bump_and_run.json,58.27,15.57,-0.85,1850.1,2.31,1700.4,75.7,43.8,62,0.0,10.1
bump_and_run_slow,bump_and_run_slow.json,30.27,15.57,-0.85,1850.1,2.31,1700.4,75.7,0.0,0.0,0.0,0.0
bump_test_shot,bump_test_shot.json,78.27,5.57,-0.85,1850.1,2.31,1700.4,75.7,39,74,0.0,3.1
checked_test_shot,checked_test_shot.json,75.05,38.50,1.35,10700.8,5.74,10500.8,699.3,77.6,77.5,0.0,79.5
chip_test_shot,chip_test_shot.json,24.68,17.94,20.35,3203.9,0.00,3203.9,0.0,0.0,0.0,0.0,0.0
drive_test_shot,drive_test_shot.json,150.00,12.50,1.50,2335.0,-9.90,2300.0,-400.0,244,256,0.0,80.6
driver1,driver1.json,124.00,9.40,-9.50,2322.0,-24.80,2107.9,-973.2,158,184,0.0,30.2
driver2,driver2.json,124.60,13.20,-6.80,3994.0,-6.10,3971.3,-423.5,184.8,192.3,0.0,65.8
driver3,driver3.json,119.10,16.00,-8.90,4935.0,-9.40,4868.9,-806.3,174.1,178.5,0.0,78.5
driver4,driver4.json,119.00,15.50,-10.20,4454.0,-7.80,4412.0,-608.1,175.6,180.9,0.0,73.8
flop_test_shot,flop_test_shot.json,68.05,45.00,0.45,12000.0,0.84,12000.0,140.3,61.8,60.3,0.0,76.8
p_wedge_shot_1,p_wedge_shot_1.json,82.28,26.46,-3.15,4946.5,6.74,4912.3,580.3,104.5,107.3,0.0,60.5
topped_test_shot,topped_test_shot.json,91.78,5.00,-0.89,2195.3,16.20,2108.2,612.3,56.2,95.3,0.0,4.3
wedge_shot_1,wedge_shot_1.json,48.66,28.96,-1.27,5683.7,11.12,5577.0,1096.3,42.6,46.9,0.0,21.3
wedge_shot_2,wedge_shot_2.json,51.83,37.03,2.37,5652.0,9.08,5581.2,891.7,49.1,50.1,0.0,35.3
wedge_test_shot,wedge_test_shot.json,66.40,23.20,-1.40,6449.0,7.10,6399.0,793.0,70.6,75.8,0.0,31.2
wedge_test_shot2,wedge_test_shot2.json,54.70,26.80,1.60,4976.0,5.70,4951.0,494.0,52.2,57.7,0.0,24.4
wood1,wood1.json,124.20,6.70,-8.10,4528.0,4.80,4512.0,378.0,165.5,181.90,0.0,32.80
wood2,wood2.json,118.80,14.50,-3.30,3026.0,11.20,2968.0,586.0,175.6,186.10,0.0,59.3
wood_low_test_shot,wood_low_test_shot.json,114.46,6.95,-0.63,1932.5,-1.42,1931.9,-47.8,122.6,158.9,0.0,15.7
