shot_name,filename,speed_mph,vla_deg,hla_deg,total_spin_rpm,spin_axis_deg,backspin_rpm,sidespin_rpm,carry_yd,total_yd,rollout_yd,apex_ft
5iron,5iron.json,102.10,17.40,1.50,5391.0,12.30,5266.0,1151.0,138.1,142.2,0.0,59.6
approach_mid_iron_test_shot,approach_mid_iron_test_shot.json,93.90,22.90,-2.60,5375.0,2.00,5375.0,0.0,125.8,128.5,0.0,69.3
bump_and_run,bump_and_run.json,58.27,15.57,-0.85,1850.1,2.31,1700.4,75.7,43.8,62,0.0,10.1
bump_and_run_slow,bump_and_run_slow.json,30.27,15.57,-0.85,1850.1,2.31,1700.4,75.7,0.0,0.0,0.0,0.0
bump_test_shot,bump_test_shot.json,78.27,5.57,-0.85,1850.1,2.31,1700.4,75.7,39,74,0.0,3.1
checked_test_shot,checked_test_shot.json,75.05,38.50,1.35,10700.8,5.74,10500.8,699.3,77.6,77.5,0.0,79.5
chip_test_shot,chip_test_shot.json,24.68,17.94,20.35,3203.9,0.00,3203.9,0.0,0.0,0.0,0.0,0.0
drive_test_shot,drive_test_shot.json,150.00,12.50,1.50,2335.0,-9.90,2300.0,-400.0,244,256,0.0,80.6
driver1,driver1.json,124.00,9.40,-9.50,2322.0,-24.80,2107.9,-973.2,158,184,0.0,30.2
driver2,driver2.json,124.60,13.20,-6.80,3994.0,-6.10,3971.3,-423.5,184.8,192.3,0.0,65.8
driver3,driver3.json,119.10,16.00,-8.90,4935.0,-9.40,4868.9,-806.3,174.1,178.5,0.0,78.5
driver4,driver4.json,119.00,15.50,-10.20,4454.0,-7.80,4412.0,-608.1,175.6,180.9,0.0,73.8
flop_test_shot,flop_test_shot.json,68.05,45.00,0.45,12000.0,0.84,12000.0,140.3,61.8,60.3,0.0,76.8
p_wedge_shot_1,p_wedge_shot_1.json,82.28,26.46,-3.15,4946.5,6.74,4912.3,580.3,104.5,107.3,0.0,60.5
topped_test_shot,topped_test_shot.json,91.78,5.00,-0.89,2195.3,16.20,2108.2,612.3,56.2,95.3,0.0,4.3
wedge_shot_1,wedge_shot_1.json,48.66,28.96,-1.27,5683.7,11.12,5577.0,1096.3,42.6,46.9,0.0,21.3
wedge_shot_2,wedge_shot_2.json,51.83,37.03,2.37,5652.0,9.08,5581.2,891.7,49.1,50.1,0.0,35.3
wedge_test_shot,wedge_test_shot.json,66.40,23.20,-1.40,6449.0,7.10,6399.0,793.0,70.6,75.8,0.0,31.2
wedge_test_shot2,wedge_test_shot2.json,54.70,26.80,1.60,4976.0,5.70,4951.0,494.0,52.2,57.7,0.0,24.4
wood1,wood1.json,124.20,6.70,-8.10,4528.0,4.80,4512.0,378.0,165.5,181.90,0.0,32.80
wood2,wood2.json,118.80,14.50,-3.30,3026.0,11.20,2968.0,586.0,175.6,186.10,0.0,59.3
wood_low_test_shot,wood_low_test_shot.json,114.46,6.95,-0.63,1932.5,-1.42,1931.9,-47.8,122.6,158.9,0.0,15.7
s2_shot_10,shot_10.json,89.70,25.51,-3.13,6446.1,6.16,6408.9,691.6,115.1,116.4,1.3,72.0
s2_shot_11,shot_11.json,78.51,29.59,4.31,7349.8,10.69,7222.3,1363.2,93.0,93.6,0.6,64.0
s2_shot_12,shot_12.json,90.80,24.49,-3.88,7260.6,4.91,7233.9,621.5,115.4,116.4,1.0,71.5
s2_shot_13,shot_13.json,95.22,19.62,-1.09,5609.6,12.20,5482.8,1185.8,125.3,128.7,3.4,58.4
s2_shot_14,shot_14.json,87.13,22.37,-2.00,5660.3,11.37,5549.3,1115.6,110.9,113.7,2.8,55.9
s2_shot_15,shot_15.json,88.14,14.21,-0.32,4985.2,19.37,4703.0,1653.5,101.3,113.1,11.8,28.9
s2_shot_16,shot_16.json,94.07,19.14,-5.93,5291.1,4.96,5271.3,457.7,124.3,128.1,3.8,55.3
s2_shot_17,shot_17.json,122.92,14.40,-1.33,4119.1,6.69,4091.0,480.2,184.0,190.3,6.3,71.8
s2_shot_18,shot_18.json,105.67,20.50,-1.72,5666.8,8.18,5609.2,806.3,146.8,149.4,2.6,80.4
s2_shot_19,shot_19.json,128.59,12.54,-8.40,2513.7,5.13,2503.6,224.6,194.5,208.7,14.2,57.3
s2_shot_20,shot_20.json,120.88,15.02,-2.96,4245.1,9.62,4185.4,709.5,179.4,185.3,5.9,72.3
s2_shot_21,shot_21.json,127.35,7.24,-11.46,2320.9,-19.47,2188.2,-773.4,154.9,186.5,31.6,23.1
s2_shot_22,shot_22.json,123.29,14.01,-6.11,3104.1,9.97,3057.3,537.3,185.4,195.5,10.1,63.0
s2_shot_23,shot_23.json,125.52,8.64,-14.33,3062.5,-23.87,2800.5,-1239.4,161.9,185.0,23.1,31.0
s2_shot_24,shot_24.json,121.48,14.53,-11.23,3172.9,-6.80,3150.6,-375.5,183.0,192.8,9.8,64.6
s2_shot_26,shot_26.json,116.97,18.42,-2.02,5035.4,9.70,4963.4,848.2,170.7,174.2,3.5,88.1
s2_shot_27,shot_27.json,112.96,17.59,-2.26,4291.5,12.21,4194.4,907.8,164.5,169.6,5.1,73.6
s2_shot_9,shot_9.json,94.41,20.07,2.40,4020.4,16.33,3858.1,1130.8,126.5,132.5,6.0,54.8
s3_shot_3w_19,shot_3w_19.json,121.33,5.59,-4.84,1661.5,-11.89,1625.9,-342.2,120.6,165.8,45.2,12.2
s3_shot_3w_21,shot_3w_21.json,119.40,5.31,-3.43,1759.7,-10.46,1730.5,-319.5,114.6,160.5,45.9,10.9
s3_shot_3w_22,shot_3w_22.json,108.89,5.62,-7.25,2500.8,-1.78,2499.6,-77.5,103.2,141.3,38.1,10.5
s3_shot_3w_23,shot_3w_23.json,115.83,8.90,-0.78,2804.3,2.19,2802.2,107.3,147.7,170.9,23.2,28.0
s3_shot_3w_24,shot_3w_24.json,123.42,6.29,-5.42,2751.6,-13.27,2678.1,-631.8,145.9,176.7,30.8,19.8
s3_shot_5i_10,shot_5i_10.json,87.96,14.22,1.21,4064.7,8.41,4021.0,594.4,103.1,116.7,13.6,28.4
s3_shot_5i_11,shot_5i_11.json,90.59,14.45,-0.21,3360.4,7.80,3329.3,456.2,108.8,124.1,15.3,29.8
s3_shot_5i_12,shot_5i_12.json,74.19,10.23,-1.67,3321.4,15.75,3196.7,901.5,58.4,81.9,23.5,9.4
s3_shot_5i_13,shot_5i_13.json,75.04,8.01,2.53,3921.4,3.42,3914.4,234.0,53.9,78.9,25.0,6.8
s3_shot_5i_15,shot_5i_15.json,86.90,9.35,-4.02,2508.9,-4.94,2499.6,-216.2,78.6,106.6,28.0,12.1
s3_shot_5i_16,shot_5i_16.json,97.99,9.13,-2.08,3775.9,1.68,3774.3,110.7,109.1,130.0,20.9,19.7
s3_shot_5i_17,shot_5i_17.json,56.46,9.97,24.15,5178.3,29.12,4523.9,2519.7,30.6,46.9,16.3,4.5
s3_shot_6i_35,shot_6i_35.json,80.55,15.35,-1.30,4667.1,-0.03,4667.1,-2.8,90.0,101.5,11.5,26.4
s3_shot_6i_36,shot_6i_36.json,78.86,10.40,16.08,4166.0,25.12,3771.9,1768.7,67.8,89.1,21.3,11.8
s3_shot_6i_37,shot_6i_37.json,82.57,10.16,11.01,3041.1,25.35,2748.4,1301.8,71.5,97.2,25.7,11.8
s3_shot_6i_38,shot_6i_38.json,79.12,13.35,3.04,3186.9,11.59,3121.9,640.2,79.2,97.5,18.3,18.0
s3_shot_6i_39,shot_6i_39.json,60.98,6.14,10.35,3284.8,22.03,3044.9,1232.2,24.0,47.3,23.3,2.1
s3_shot_6i_40,shot_6i_40.json,62.11,6.80,27.01,2768.0,30.00,2397.2,1384.0,26.2,51.1,24.9,2.5
s3_shot_6i_41,shot_6i_41.json,82.53,9.88,-2.28,2620.2,13.56,2547.1,614.5,71.3,97.9,26.6,11.3
s3_shot_6i_42,shot_6i_42.json,77.19,13.14,-3.42,4057.2,4.14,4046.6,293.2,76.6,92.9,16.3,17.5
s3_shot_6i_43,shot_6i_43.json,94.06,13.88,-4.68,4616.2,1.70,4614.2,137.0,117.3,128.6,11.3,35.0
s3_shot_6i_44,shot_6i_44.json,114.96,9.46,-6.67,2314.5,15.10,2234.6,602.8,142.3,168.2,25.9,26.6
s3_shot_6i_45,shot_6i_45.json,109.32,6.42,-9.00,2509.9,-10.87,2464.9,-473.5,109.6,145.4,35.8,12.9
s3_shot_6i_46,shot_6i_46.json,116.33,13.65,0.34,3007.9,10.67,2955.8,557.1,167.3,179.3,12.0,51.6
s3_shot_6i_47,shot_6i_47.json,99.48,14.78,-2.86,4810.7,4.69,4794.6,393.7,131.2,137.7,6.5,45.0
s3_shot_6i_48,shot_6i_48.json,101.73,15.23,-3.03,4631.0,4.26,4618.2,344.4,137.1,143.5,6.4,48.9
s3_shot_6i_49,shot_6i_49.json,71.25,7.70,16.05,2624.7,30.00,2273.0,1312.3,39.9,70.3,30.4,4.5
s3_shot_6i_50,shot_6i_50.json,82.80,14.85,-1.42,3783.4,2.81,3778.8,185.4,93.2,107.4,14.2,25.6
s3_shot_7i_25,shot_7i_25.json,83.34,13.18,2.98,3409.5,17.79,3246.5,1041.7,86.9,104.8,17.9,20.1
s3_shot_7i_26,shot_7i_26.json,73.37,10.85,15.40,3560.9,30.00,3083.8,1780.4,56.6,79.3,22.7,9.6
s3_shot_7i_27,shot_7i_27.json,93.74,17.06,-1.45,4611.6,2.63,4606.7,211.8,122.3,128.3,6.0,46.0
s3_shot_7i_28,shot_7i_28.json,92.09,16.41,-3.60,4216.7,-0.44,4216.6,-32.4,117.9,125.6,7.7,40.6
s3_shot_7i_29,shot_7i_29.json,107.59,13.82,-6.05,3633.3,4.72,3621.0,298.7,148.4,158.3,9.9,46.3
s3_shot_7i_30,shot_7i_30.json,90.17,17.56,-3.83,4508.5,-0.21,4508.5,-16.5,115.4,121.7,6.3,43.1
s3_shot_7i_31,shot_7i_31.json,76.36,17.52,-0.54,5122.2,1.84,5119.5,164.7,85.0,94.5,9.5,28.4
s3_shot_7i_32,shot_7i_32.json,93.10,16.96,-1.03,3762.5,4.20,3752.4,275.6,121.2,129.8,8.6,42.5
s3_shot_7i_33,shot_7i_33.json,92.36,16.96,-0.58,3851.7,2.81,3847.1,188.9,119.7,128.0,8.3,42.0
s3_shot_7i_34,shot_7i_34.json,104.19,14.67,-4.63,4081.2,1.90,4079.0,135.0,142.5,150.6,8.1,48.2
s3_shot_9i_1,shot_9i_1.json,88.98,15.10,-0.50,3563.2,11.26,3494.6,695.8,106.7,120.8,14.1,30.8
s3_shot_9i_2,shot_9i_2.json,71.29,23.93,5.51,4085.5,8.31,4042.7,590.2,82.1,87.4,5.3,36.8
s3_shot_9i_3,shot_9i_3.json,90.11,21.67,2.80,5243.0,11.20,5143.3,1018.1,117.3,120.7,3.4,57.7
s3_shot_9i_5,shot_9i_5.json,84.02,19.37,3.82,5352.1,11.48,5245.0,1065.2,102.7,107.2,4.5,41.8
