shot_name,filename,speed_mph,vla_deg,hla_deg,total_spin_rpm,spin_axis_deg,backspin_rpm,sidespin_rpm,carry_yd,total_yd,rollout_yd,apex_ft,hang_time_s,landing_speed_mps,landing_angle_deg,initial_re,initial_spin_ratio,initial_cd,initial_cl,peak_cl,carry_only_yd
5iron,5iron.json,102.10,17.40,1.50,5391.0,12.30,5266.0,1151.0,140.2,148.3,8.1,61.3,4.73,23.49,44.18,124951.4,0.263855,0.232367,0.287730,0.287730,140.2
approach_mid_iron_test_shot,approach_mid_iron_test_shot.json,93.90,22.90,-2.60,5375.0,2.00,5375.0,0.0,125.3,135.9,10.6,64.1,4.65,22.90,47.16,114916.1,0.286081,0.230050,0.248285,0.268000,125.3
bump_and_run,bump_and_run.json,58.27,15.57,-0.85,1850.1,2.31,1700.4,75.7,37.7,37.4,-0.3,8.6,1.48,22.95,17.85,71314.6,0.145977,0.186984,0.141363,0.141363,37.7
bump_and_run_slow,bump_and_run_slow.json,30.27,15.57,-0.85,1850.1,2.31,1700.4,75.7,10.2,28.2,18.0,2.2,0.73,12.95,15.97,37047.8,0.280996,0.269116,0.002438,0.002438,10.2
bump_test_shot,bump_test_shot.json,78.27,5.57,-0.85,1850.1,2.31,1700.4,75.7,37.3,87.2,49.9,3.0,1.06,30.04,6.58,95790.9,0.108677,0.223064,0.179078,0.179078,37.3
checked_test_shot,checked_test_shot.json,75.05,38.50,1.35,10700.8,5.74,10500.8,699.3,75.5,77.0,1.5,69.9,4.40,19.89,56.97,91853.0,0.700778,0.350675,0.256092,0.307493,75.5
chip_test_shot,chip_test_shot.json,24.68,17.94,20.35,3203.9,-0.00,3203.9,0.0,7.8,17.1,9.3,1.9,0.69,10.59,18.67,30200.0,0.648877,0.337439,0.000102,0.000102,7.8
drive_test_shot,drive_test_shot.json,150.00,12.50,1.50,2335.0,-9.90,2300.0,-400.0,248.1,260.6,12.5,82.2,5.86,30.71,34.16,183572.1,0.077783,0.205097,0.151570,0.155955,248.1
driver1,driver1.json,124.00,9.40,-9.50,2322.0,-24.80,2107.9,-973.2,157.7,157.7,-0.0,29.4,3.59,32.57,18.43,151752.9,0.093576,0.204304,0.160723,0.161503,157.7
driver2,driver2.json,124.60,13.20,-6.80,3994.0,-6.10,3971.3,-423.5,187.6,195.2,7.6,61.5,5.07,26.88,34.21,152487.2,0.160192,0.226830,0.192784,0.195740,187.6
driver3,driver3.json,119.10,16.00,-8.90,4935.0,-9.40,4868.9,-806.3,175.0,195.3,20.3,93.2,5.78,25.14,53.53,145756.2,0.207095,0.236460,0.256396,0.305210,175.0
driver4,driver4.json,119.00,15.50,-10.20,4454.0,-7.80,4412.0,-608.1,176.8,189.4,12.7,75.1,5.34,25.56,45.01,145633.8,0.187047,0.230004,0.212902,0.251153,176.8
flop_test_shot,flop_test_shot.json,68.05,45.00,0.45,12000.0,0.84,12000.0,140.3,61.6,61.9,0.3,68.3,4.23,19.26,60.07,83286.3,0.881310,0.386817,0.244725,0.287767,61.6
