shot_name,speed_mph,vla_deg,hla_deg,total_spin_rpm,spin_axis_deg,launch_regime_key,carry_window,physics_carry_yd,fs_carry_yd,diff_carry_yd,physics_carry_raw_yd,diff_carry_raw_yd,physics_total_yd,fs_total_yd,diff_total_yd,rollout_physics_yd,rollout_fs_yd,diff_rollout_yd,physics_apex_ft,fs_apex_ft,diff_apex_ft,gsp_carry_yd,gsp_total_yd,gsp_apex_ft,diff_gsp_carry_yd,diff_gsp_total_yd,diff_gsp_apex_ft,carry_exception_regime,carry_exception_offset_yd,carry_exception_source,carry_exception_applied,status
s3_shot_driver_58,119.3,23.6,2.5,7093,3.3,I-S3-V2-P3,150-180,169.7,163.2,6.5,169.7,6.5,184.8,163.9,20.9,15.1,0.7,14.4,109.7,125.7,-16.0,,,,,,,,,,false,severe
bump_and_run,58.3,15.6,-0.8,1850,2.3,C-S0-V1-P0,<115,37.7,43.8,-6.1,37.7,-6.1,37.4,62.0,-24.6,-0.3,18.2,-18.5,8.6,10.1,-1.5,,,,,,,,,,false,severe
s5_shot_7i_27,103.3,14.1,-1.8,5085,13.7,I-S2-V1-P2,115-150,142.4,136.6,5.8,142.4,5.8,150.9,142.8,8.1,8.5,6.2,2.3,54.8,46.5,8.3,,,,,,,,,,false,moderate
s4_shot_3w_33,99.7,20.5,0.5,6997,1.6,I-S2-V2-P3,115-150,137.6,132.0,5.6,137.6,5.6,142.8,133.4,9.4,5.2,1.4,3.8,63.5,72.8,-9.3,,,,,,,,,,false,moderate
s5_shot_3w_37,100.9,23.6,6.4,7893,7.2,I-S2-V2-P4,115-150,136.4,131.0,5.4,136.4,5.4,143.8,131.7,12.1,7.4,0.7,6.7,77.9,87.5,-9.6,,,,,,,,,,false,severe
s5_shot_driver_43,133.2,5.8,-6.6,2130,-19.7,D-S4-V0-P0,150-180,159.3,154.2,5.1,159.3,5.1,216.9,192.0,24.9,57.6,37.8,19.8,20.4,18.4,2.0,,,,,,,,,,false,severe
s4_shot_5i_29,76.2,6.1,0.7,3695,-0.0,I-S1b-V0-P1,<115,51.2,46.2,5.0,51.2,5.0,86.2,73.3,12.9,35.0,27.1,7.9,5.1,4.3,0.8,,,,,,,,,,false,severe
s2_shot_21,127.3,7.2,-11.5,2321,-19.5,D-S4-V0-P0,150-180,159.8,154.9,4.9,159.8,4.9,214.2,186.5,27.7,54.4,31.6,22.8,24.8,23.1,1.7,,,,,,,,,,false,severe
s3_shot_6i_35,80.5,15.3,-1.3,4667,-0.0,I-S1b-V1-P2,<115,85.2,90.0,-4.8,85.2,-4.8,85.3,101.5,-16.2,0.1,11.5,-11.4,23.2,26.4,-3.2,,,,,,,,,,false,severe
s4_shot_5i_25,89.1,16.7,1.1,5262,6.2,I-S2-V1-P2,<115,106.0,110.8,-4.8,106.0,-4.8,106.9,116.1,-9.2,0.9,5.3,-4.4,33.9,40.1,-6.2,,,,,,,,,,false,moderate
s3_shot_6i_41,82.5,9.9,-2.3,2620,13.6,I-S1b-V0-P1,<115,66.6,71.3,-4.7,66.6,-4.7,110.8,97.9,12.9,44.2,26.6,17.6,10.3,11.3,-1.0,,,,,,,,,,false,severe
s2_shot_18,105.7,20.5,-1.7,5667,8.2,I-S3-V2-P3,115-150,142.2,146.8,-4.6,142.2,-4.6,154.8,149.4,5.4,12.6,2.6,10.0,73.9,80.4,-6.5,,,,,,,,,,false,moderate
s3_shot_5i_15,86.9,9.3,-4.0,2509,-4.9,I-S2-V0-P1,<115,74.0,78.6,-4.6,74.0,-4.6,121.1,106.6,14.5,47.1,28.0,19.1,11.0,12.1,-1.1,,,,,,,,,,false,severe
s3_shot_7i_31,76.4,17.5,-0.5,5122,1.8,I-S1b-V1-P2,<115,80.7,85.0,-4.3,80.7,-4.3,80.7,94.5,-13.8,0.0,9.5,-9.5,24.4,28.4,-4.0,,,,,,,,,,false,severe
s4_shot_3w_32,105.5,18.5,-1.4,5714,2.3,I-S3-V2-P3,115-150,141.7,146.0,-4.3,141.7,-4.3,149.8,148.8,1.0,8.1,2.8,5.3,64.7,71.9,-7.2,,,,,,,,,,false,moderate
drive_test_shot,150.0,12.5,1.5,2335,-9.9,D-S4-V1-P0,>200,248.1,244.0,4.1,248.1,4.1,260.6,256.0,4.6,12.5,12.0,0.5,82.2,80.6,1.6,,,,,,,,,,false,moderate
s5_shot_6i_32,90.2,9.7,-1.3,4135,8.0,I-S2-V0-P2,<115,97.7,93.7,4.0,97.7,4.0,97.6,113.4,-15.8,-0.1,19.7,-19.8,19.6,17.2,2.4,,,,,,,,,,false,severe
s3_shot_6i_37,82.6,10.2,11.0,3041,25.4,I-S1b-V1-P1,<115,67.6,71.5,-3.9,67.6,-3.9,108.9,97.2,11.7,41.3,25.7,15.6,10.9,11.8,-0.9,,,,,,,,,,false,severe
s3_shot_6i_38,79.1,13.3,3.0,3187,11.6,I-S1b-V1-P1,<115,75.3,79.2,-3.9,75.3,-3.9,75.5,97.5,-22.0,0.2,18.3,-18.1,17.9,18.0,-0.1,,,,,,,,,,false,severe
s5_shot_3w_36,128.3,9.5,-2.9,2614,-6.8,D-S4-V0-P1,180-200,177.1,180.9,-3.8,177.1,-3.8,178.0,199.7,-21.7,0.9,18.8,-17.9,37.2,39.9,-2.7,,,,,,,,,,false,severe
