shot_name,speed_mph,vla_deg,hla_deg,total_spin_rpm,spin_axis_deg,launch_regime_key,carry_window,physics_carry_yd,fs_carry_yd,diff_carry_yd,physics_carry_raw_yd,diff_carry_raw_yd,physics_total_yd,fs_total_yd,diff_total_yd,rollout_physics_yd,rollout_fs_yd,diff_rollout_yd,physics_apex_ft,fs_apex_ft,diff_apex_ft,gsp_carry_yd,gsp_total_yd,gsp_apex_ft,diff_gsp_carry_yd,diff_gsp_total_yd,diff_gsp_apex_ft,carry_exception_regime,carry_exception_offset_yd,carry_exception_source,carry_exception_applied,status
s5_shot_3w_38,130.1,7.9,-0.6,1997,1.8,D-S4-V0-P0,150-180,170.6,171.0,-0.4,170.6,-0.4,170.5,200.0,-29.5,-0.1,29.0,-29.1,28.9,28.9,0.0,,,,,,,,,,false,severe
s3_shot_6i_44,115.0,9.5,-6.7,2314,15.1,D-S3-V0-P0,115-150,140.5,142.3,-1.8,140.5,-1.8,140.2,168.2,-28.0,-0.3,25.9,-26.2,25.2,26.6,-1.4,,,,,,,,,,false,severe
s2_shot_21,127.3,7.2,-11.5,2321,-19.5,D-S4-V0-P0,150-180,159.8,154.9,4.9,159.8,4.9,214.2,186.5,27.7,54.4,31.6,22.8,24.8,23.1,1.7,,,,,,,,,,false,severe
driver1,124.0,9.4,-9.5,2322,-24.8,D-S4-V0-P0,150-180,157.7,158.0,-0.3,157.7,-0.3,157.7,184.0,-26.3,0.0,26.0,-26.0,29.4,30.2,-0.8,,,,,,,,,,false,severe
s5_shot_6i_34,111.1,9.3,-8.6,2637,-2.9,D-S3-V0-P1,115-150,135.4,136.7,-1.3,135.4,-1.3,135.0,161.3,-26.3,-0.4,24.6,-25.0,24.2,25.6,-1.4,,,,,,,,,,false,severe
s5_shot_driver_43,133.2,5.8,-6.6,2130,-19.7,D-S4-V0-P0,150-180,159.3,154.2,5.1,159.3,5.1,216.9,192.0,24.9,57.6,37.8,19.8,20.4,18.4,2.0,,,,,,,,,,false,severe
bump_and_run,58.3,15.6,-0.8,1850,2.3,C-S0-V1-P0,<115,37.7,43.8,-6.1,37.7,-6.1,37.4,62.0,-24.6,-0.3,18.2,-18.5,8.6,10.1,-1.5,,,,,,,,,,false,severe
s3_shot_5i_12,74.2,10.2,-1.7,3321,15.8,I-S1b-V1-P1,<115,58.7,58.4,0.3,58.7,0.3,57.5,81.9,-24.4,-1.2,23.5,-24.7,10.2,9.4,0.8,,,,,,,,,,false,severe
s2_shot_23,125.5,8.6,-14.3,3062,-23.9,D-S4-V0-P1,150-180,161.1,161.9,-0.8,161.1,-0.8,161.1,185.0,-23.9,0.0,23.1,-23.1,29.8,31.0,-1.2,,,,,,,,,,false,severe
s5_shot_driver_42,136.1,8.7,-3.0,2155,-0.6,D-S4-V0-P0,180-200,192.0,193.9,-1.9,192.0,-1.9,193.0,216.9,-23.9,1.0,23.0,-22.0,38.3,39.1,-0.8,,,,,,,,,,false,severe
s3_shot_3w_24,123.4,6.3,-5.4,2752,-13.3,D-S4-V0-P1,115-150,148.2,145.9,2.3,148.2,2.3,200.5,176.7,23.8,52.3,30.8,21.5,20.5,19.8,0.7,,,,,,,,,,false,severe
s5_shot_3w_41,126.6,7.9,-0.0,2418,5.9,D-S4-V0-P0,150-180,168.4,165.8,2.6,168.4,2.6,168.3,191.8,-23.5,-0.1,26.0,-26.1,29.3,28.8,0.5,,,,,,,,,,false,severe
s3_shot_3w_23,115.8,8.9,-0.8,2804,2.2,D-S3-V0-P1,115-150,147.8,147.7,0.1,147.8,0.1,147.6,170.9,-23.3,-0.2,23.2,-23.4,26.7,28.0,-1.3,,,,,,,,,,false,severe
s3_shot_7i_26,73.4,10.8,15.4,3561,30.0,I-S1b-V1-P1,<115,57.4,56.6,0.8,57.4,0.8,56.3,79.3,-23.0,-1.1,22.7,-23.8,10.4,9.6,0.8,,,,,,,,,,false,severe
s5_shot_driver_47,137.2,7.1,-4.3,2596,-12.1,D-S4-V0-P1,180-200,188.5,186.5,2.0,188.5,2.0,188.8,211.8,-23.0,0.3,25.3,-25.0,33.9,32.0,1.9,,,,,,,,,,false,severe
