shot_name,filename,speed_mph,vla_deg,hla_deg,total_spin_rpm,spin_axis_deg,backspin_rpm,sidespin_rpm,carry_yd,total_yd,rollout_yd,apex_ft,hang_time_s,landing_speed_mps,landing_angle_deg,initial_re,initial_spin_ratio,initial_cd,initial_cl,peak_cl,carry_only_yd
shot_3w_31,shot_3w_31.json,106.87,15.70,-2.35,3662.0,8.88,3618.1,565.0,150.2,155.2,5.0,50.1,4.38,26.19,32.87,130789.1,0.171252,0.210355,0.196427,0.200014,150.2
shot_3w_32,shot_3w_32.json,105.45,18.52,-1.38,5714.3,2.28,5709.8,227.6,144.3,154.5,10.2,66.8,4.89,23.22,46.25,129048.7,0.270835,0.243692,0.267181,0.267181,144.3
shot_3w_33,shot_3w_33.json,99.72,20.51,0.54,6997.1,1.55,6994.5,189.5,137.6,142.8,5.3,63.5,4.85,22.64,42.83,122038.2,0.350680,0.239496,0.227464,0.278865,137.6
shot_3w_34,shot_3w_34.json,114.64,15.34,2.39,3501.5,12.77,3414.9,773.8,165.9,173.4,7.5,56.4,4.68,26.62,33.88,140301.3,0.152646,0.217562,0.188244,0.190495,165.9
shot_3w_35,shot_3w_35.json,117.92,14.40,3.60,3735.1,13.26,3635.5,856.4,171.7,177.5,5.8,56.4,4.74,26.78,33.08,144310.5,0.158303,0.221196,0.190219,0.192587,171.7
shot_5i_25,shot_5i_25.json,89.08,16.71,1.13,5261.8,6.18,5231.2,566.6,106.0,106.9,1.0,33.9,3.55,22.84,30.60,109019.3,0.295205,0.243491,0.230854,0.271368,106.0
shot_5i_26,shot_5i_26.json,106.31,15.46,-3.63,4114.0,3.40,4106.7,244.1,147.4,155.9,8.5,54.8,4.55,24.74,39.49,130101.2,0.193407,0.224968,0.223134,0.250449,147.4
shot_5i_27,shot_5i_27.json,84.90,6.99,5.73,2262.9,30.00,1959.8,1131.5,54.3,104.1,49.8,5.7,1.48,30.64,8.91,103903.1,0.133209,0.211751,0.197827,0.197827,54.3
shot_5i_28,shot_5i_28.json,86.01,15.91,-1.64,4178.9,1.01,4178.3,73.4,100.5,104.6,4.1,35.4,3.53,22.32,35.78,105257.7,0.242831,0.249430,0.305616,0.305616,100.5
shot_5i_29,shot_5i_29.json,76.23,6.14,0.67,3695.3,-0.00,3695.3,-0.0,51.2,86.2,35.1,5.1,1.59,25.92,9.17,93294.5,0.242265,0.270941,0.308682,0.308683,51.2
shot_5i_30,shot_5i_30.json,96.81,18.19,0.71,6358.2,17.49,6064.2,1911.0,126.4,128.3,1.9,47.6,4.22,22.96,35.41,118483.3,0.328220,0.239016,0.225130,0.268060,126.4
shot_6i_19,shot_6i_19.json,85.61,14.70,2.87,4622.8,10.94,4538.9,877.1,96.0,96.8,0.8,27.7,3.23,22.77,28.83,104776.4,0.269858,0.250298,0.277351,0.277351,96.0
shot_6i_20,shot_6i_20.json,78.84,9.70,-0.74,4288.8,-0.00,4288.8,-0.0,68.5,100.3,31.7,11.2,2.20,24.35,15.36,96487.2,0.271870,0.261574,0.276332,0.285846,68.5
shot_6i_21,shot_6i_21.json,91.87,17.75,0.67,5966.8,11.46,5847.9,1185.3,117.3,118.6,1.3,40.8,3.93,23.10,32.60,112434.3,0.324590,0.232345,0.224728,0.268200,117.3
shot_6i_22,shot_6i_22.json,76.88,7.65,14.36,3780.1,30.00,3273.7,1890.1,54.2,88.3,34.1,6.7,1.70,25.70,11.06,94085.4,0.245740,0.268499,0.308358,0.308703,54.2
shot_6i_23,shot_6i_23.json,86.70,15.37,2.75,4195.9,11.91,4105.6,865.6,101.1,104.2,3.2,34.1,3.50,22.50,34.50,106106.9,0.241865,0.247961,0.305563,0.305616,101.1
shot_6i_24,shot_6i_24.json,90.75,14.84,2.98,5270.3,14.94,5092.1,1358.6,105.6,105.8,0.2,29.9,3.38,23.60,26.91,111064.3,0.290235,0.240858,0.238441,0.265777,105.6
shot_9i_12,shot_9i_12.json,66.18,1.43,13.95,3095.8,30.00,2681.0,1547.9,8.9,50.1,41.2,0.2,0.28,28.23,1.71,80989.7,0.233795,0.301078,0.317154,0.317154,8.9
shot_9i_13,shot_9i_13.json,73.08,12.51,11.29,4978.8,21.31,4638.4,1809.5,60.0,57.8,-2.3,11.7,2.07,23.32,16.82,89438.4,0.340482,0.273923,0.228699,0.270680,60.0
shot_9i_14,shot_9i_14.json,87.13,22.10,0.34,5730.4,4.69,5711.2,468.2,108.6,113.0,4.4,48.7,4.11,21.59,40.94,106627.5,0.328706,0.251895,0.225184,0.269681,108.6
shot_9i_15,shot_9i_15.json,75.35,23.70,-1.27,6790.0,2.92,6781.2,346.1,86.2,101.9,15.7,40.7,3.71,19.97,39.38,92212.3,0.450373,0.277300,0.272009,0.314452,86.2
shot_9i_16,shot_9i_16.json,65.73,0.00,6.99,1782.9,30.00,1544.0,891.5,2.4,53.8,51.4,0.1,0.08,29.05,1.07,80445.6,0.135555,0.288957,0.183428,0.183428,2.4
shot_9i_17,shot_9i_17.json,79.41,14.92,16.37,4369.2,30.00,3783.8,2184.6,79.5,79.6,0.1,20.8,2.73,23.10,24.47,97178.2,0.274993,0.254523,0.272906,0.280548,79.5
shot_9i_18,shot_9i_18.json,74.62,23.60,2.52,6418.0,6.12,6381.4,684.4,85.0,101.6,16.5,39.3,3.65,19.97,38.77,91326.6,0.429824,0.274144,0.261453,0.314452,85.0
shot_lw_36,shot_lw_36.json,29.15,41.69,3.71,4205.1,0.00,4205.1,0.0,17.1,24.4,7.3,11.9,1.73,11.87,44.16,35677.9,0.720888,0.424077,0.065581,0.065581,17.1
shot_lw_37,shot_lw_37.json,42.76,36.37,5.46,5160.3,8.24,5107.0,739.5,33.3,43.5,10.3,21.5,2.35,15.70,42.54,52327.2,0.603165,0.449240,0.345168,0.345168,33.3
shot_lw_38,shot_lw_38.json,47.61,37.82,6.06,5608.6,5.60,5581.8,546.9,41.3,52.4,11.1,29.4,2.78,17.09,45.18,58260.0,0.588807,0.364352,0.359933,0.359933,41.3
shot_lw_39,shot_lw_39.json,15.19,29.00,1.86,3481.1,-0.00,3481.1,-0.0,4.3,7.6,3.4,1.8,0.67,6.62,29.40,18585.1,1.145635,0.380342,0.000000,0.000000,4.3
shot_lw_40,shot_lw_40.json,17.80,31.33,2.56,3617.2,-0.00,3617.2,-0.0,6.1,10.2,4.1,2.8,0.83,7.66,31.85,21785.7,1.015514,0.402955,0.000000,0.000000,6.1
shot_lw_41,shot_lw_41.json,23.82,25.81,0.34,3616.9,-0.00,3616.9,-0.0,9.5,17.1,7.6,3.5,0.93,10.13,26.51,29156.6,0.758739,0.332446,0.000000,0.000000,9.5
shot_lw_42,shot_lw_42.json,40.42,40.34,6.79,4336.8,12.64,4231.7,949.1,30.7,39.9,9.2,22.3,2.38,15.32,45.71,49471.8,0.536170,0.427701,0.346886,0.346886,30.7
shot_lw_43,shot_lw_43.json,37.53,21.80,7.56,3734.1,-0.00,3734.1,-0.0,21.3,36.4,15.1,6.9,1.36,14.77,24.30,45932.8,0.497229,0.411039,0.327046,0.327046,21.3
shot_lw_44,shot_lw_44.json,39.70,30.64,2.55,5258.6,0.00,5258.6,0.0,27.7,37.3,9.6,13.9,1.89,14.87,35.30,48582.7,0.662029,0.492992,0.336126,0.336126,27.7
shot_lw_45,shot_lw_45.json,31.72,32.10,1.83,4379.3,-2.83,4374.0,-216.6,18.4,27.5,9.1,9.1,1.51,12.69,34.57,38819.4,0.690002,0.447767,0.139242,0.139242,18.4
shot_lw_46,shot_lw_46.json,20.85,19.71,0.85,2793.0,0.00,2793.0,0.0,6.0,13.9,7.8,1.7,0.64,9.04,20.41,25514.2,0.669540,0.334547,0.000000,0.000000,6.0
shot_lw_50,shot_lw_50.json,18.51,47.07,6.77,4534.6,18.14,4309.3,1411.6,7.3,9.9,2.6,6.0,1.22,7.93,47.90,22650.9,1.224469,0.403097,0.000000,0.000000,7.3
shot_lw_51,shot_lw_51.json,32.18,29.45,9.63,5076.9,14.13,4923.3,1239.2,18.2,26.3,8.1,8.1,1.43,12.91,31.74,39380.4,0.788517,0.425375,0.148595,0.148595,18.2
shot_lw_52,shot_lw_52.json,31.04,52.00,-0.06,3964.7,15.12,3827.5,1033.9,18.5,24.8,6.2,18.7,2.16,12.61,54.69,37992.3,0.638273,0.432572,0.120587,0.120587,18.5
shot_pw_1,shot_pw_1.json,69.84,20.07,-0.58,3577.0,7.98,3542.3,496.5,73.5,76.8,3.3,28.8,2.94,21.80,34.06,85474.1,0.255959,0.239780,0.343582,0.343582,73.5
shot_pw_10,shot_pw_10.json,76.33,26.80,0.65,5988.6,4.90,5966.7,511.9,90.4,95.1,4.7,49.4,4.03,20.35,44.92,93415.5,0.392099,0.262301,0.244565,0.315508,90.4
shot_pw_11,shot_pw_11.json,76.26,27.35,-0.63,6296.3,5.22,6270.2,573.0,90.0,94.0,4.0,51.2,4.09,20.25,45.82,93324.9,0.412650,0.266668,0.254797,0.317566,90.0
shot_pw_2,shot_pw_2.json,53.25,24.98,0.23,4085.0,3.00,4079.4,213.9,48.9,68.2,19.3,20.6,2.50,18.35,33.53,65162.3,0.383432,0.289828,0.329518,0.342645,48.9
shot_pw_3,shot_pw_3.json,62.81,31.15,6.57,6128.8,6.31,6091.7,673.2,65.8,79.9,14.1,40.7,3.48,19.10,44.14,76871.8,0.487637,0.301908,0.302122,0.337086,65.8
shot_pw_4,shot_pw_4.json,40.09,4.84,16.41,2730.5,20.39,2559.4,951.4,6.4,31.7,25.3,0.4,0.33,17.20,5.27,49067.0,0.340369,0.386272,0.113582,0.113582,6.4
shot_pw_47,shot_pw_47.json,46.66,24.60,2.26,3699.1,-0.00,3699.1,-0.0,36.8,54.7,17.9,14.6,2.06,16.98,30.73,57108.3,0.396174,0.339646,0.335698,0.346855,36.8
shot_pw_48,shot_pw_48.json,46.55,25.52,3.83,4318.4,0.58,4318.2,43.5,37.2,52.9,15.7,15.6,2.12,16.78,31.25,56972.9,0.463607,0.358866,0.372870,0.373606,37.2
shot_pw_49,shot_pw_49.json,60.30,22.56,3.45,4043.8,4.96,4028.7,350.0,57.1,78.6,21.5,22.5,2.62,19.39,33.17,73793.9,0.335170,0.291302,0.279107,0.303080,57.1
shot_pw_5,shot_pw_5.json,28.68,9.00,7.19,2764.1,-0.00,2764.1,-0.0,5.7,18.9,13.2,0.7,0.42,12.41,9.42,35102.0,0.481631,0.353824,0.060337,0.060337,5.7
shot_pw_6,shot_pw_6.json,68.69,26.10,1.07,4148.8,8.23,4106.0,593.9,77.1,83.0,6.0,38.4,3.40,21.04,41.10,84067.5,0.301843,0.241605,0.257527,0.305520,77.1
shot_pw_7,shot_pw_7.json,76.85,25.20,3.72,6565.2,8.16,6498.7,931.8,90.6,93.3,2.7,46.6,3.96,20.22,42.43,94049.7,0.426955,0.269427,0.262492,0.317566,90.6
shot_pw_8,shot_pw_8.json,33.32,17.36,4.22,3183.4,-0.00,3183.4,-0.0,14.0,28.8,14.9,3.4,0.94,13.73,18.65,40777.8,0.477478,0.382326,0.208308,0.208308,14.0
shot_pw_9,shot_pw_9.json,76.60,28.64,4.92,7133.1,5.71,7097.7,709.7,88.9,92.6,3.7,54.9,4.18,20.21,46.98,93747.4,0.465384,0.279386,0.279820,0.312403,88.9
